Target_Class;p_tag_count;comma_count;colon_count;hyphen_count;TTR;Compound;Positive;Neutral;Negative;FleschK_score;CC;PRP;PRP$;IN;NNP;period_count
Literary;6056;18091;546;2128;0.09713954427339457;1.0;0.242;0.624;0.134;52.27418282179792;75.0;10.0;3.0;2339.0;57.0;1197827
Literary;462;1503;31;278;0.2738799661876585;1.0;0.22899999999999998;0.649;0.12300000000000001;56.742919516381086;4.0;1.0;0.0;236.0;8.0;114621
Literary;1605;5661;144;2478;0.18736787710809413;1.0;0.25;0.62;0.131;46.613640774059114;35.0;7.0;1.0;945.0;12.0;511590
Literary;116;3468;60;276;0.17439866320742273;1.0;0.23199999999999998;0.6459999999999999;0.12300000000000001;50.0794510570397;23.0;7.0;1.0;576.0;10.0;261906
Literary;1395;5933;35;898;0.15305237599722513;1.0;0.20199999999999999;0.6829999999999999;0.115;50.79046268273123;38.0;2.0;3.0;791.0;13.0;423151
Literary;2971;7620;77;1624;0.15365884916057926;1.0;0.215;0.622;0.163;56.84023051822696;29.0;8.0;3.0;845.0;65.0;473076
Allegories;641;2054;58;164;0.2256431535269709;1.0;0.276;0.616;0.10800000000000001;59.996068423975686;10.0;4.0;0.0;306.0;5.0;142770
Literary;3390;11279;446;2010;0.1421329789851863;1.0;0.258;0.621;0.121;34.00374135716285;53.0;18.0;5.0;1673.0;59.0;767895
Literary;635;3119;850;923;0.2175153537405097;1.0;0.29600000000000004;0.5670000000000001;0.13699999999999998;59.56033872976343;21.0;5.0;2.0;576.0;7.0;264471
Literary;1129;3469;18;548;0.2223569227660757;1.0;0.23600000000000002;0.586;0.17800000000000002;54.66189563178952;11.0;3.0;2.0;439.0;13.0;242442
Literary;4936;13857;280;1739;0.11225923782756056;1.0;0.207;0.649;0.14400000000000002;46.40537416307782;60.0;11.0;7.0;1667.0;29.0;911515
Literary;3551;13272;942;2115;0.0933261781637233;1.0;0.237;0.6;0.163;56.07793691026318;54.0;20.0;5.0;1690.0;23.0;1036243
Literary;4220;11058;282;1436;0.11547250133032835;1.0;0.22399999999999998;0.665;0.111;51.5246376371941;46.0;7.0;2.0;1328.0;34.0;791313
Literary;4341;9718;41;2913;0.1094519428218266;1.0;0.257;0.583;0.16;60.1909854349997;23.0;12.0;3.0;1353.0;14.0;642658
Literary;1530;9930;67;877;0.12394639244774107;1.0;0.18;0.71;0.109;64.22806818587262;49.0;7.0;5.0;1340.0;19.0;569146
Literary;975;5273;73;775;0.21381651782419367;1.0;0.223;0.667;0.11;52.31921641135728;25.0;2.0;1.0;784.0;9.0;336969
Literary;2920;12367;125;4616;0.11190712754274956;1.0;0.23399999999999999;0.6559999999999999;0.11;50.70851784338024;55.0;10.0;21.0;1502.0;28.0;960880
Literary;946;5209;54;1181;0.19212475164067674;1.0;0.19899999999999998;0.6709999999999999;0.13;48.51281039621298;44.0;9.0;0.0;938.0;11.0;394733
Literary;1192;6306;39;1688;0.2086503277437018;1.0;0.22399999999999998;0.636;0.14;38.521035530582026;52.0;9.0;3.0;966.0;11.0;452908
Literary;2821;2622;100;1523;0.17149872191578094;1.0;0.23;0.628;0.142;60.5387497237115;17.0;4.0;0.0;622.0;14.0;368663
Literary;510;1839;52;107;0.32301298701298703;1.0;0.26;0.546;0.193;40.11104694382314;3.0;1.0;0.0;244.0;4.0;119122
Literary;3050;6035;67;1167;0.14692715577190546;1.0;0.192;0.695;0.113;52.59265915062025;33.0;13.0;2.0;1188.0;31.0;565935
