guten_genre,p_tag_count,comma_count,colon_count,hyphen_count,TTR,Positive,Neutral,Negative,FleschK_score,CC,PRP,PRP$,IN,NNP,period_count
Literary,4267,13503,510,3514,0.103,0.239,0.628,0.133,49.880,54,18,6,1517,80,981305
Love and Romance,2322,4245,66,495,0.178,0.245,0.635,0.121,56.160,15,3,0,653,24,386589
Literary,907,1392,17,406,0.310,0.233,0.647,0.12,48.018,13,,0,268,5,131776
Literary,2662,5376,88,414,0.155,0.175,0.676,0.149,49.839,15,3,2,1138,60,517979
Literary,3825,8394,156,2043,0.159,0.205,0.636,0.158,45.614,26,14,5,1041,35,614344
Literary,2427,2804,82,1462,0.132,0.209,0.633,0.159,61.780,16,8,1,477,12,346980
Literary,1779,3662,19,534,0.170,0.154,0.709,0.137,40.504,19,4,0,416,7,326503
Detective and Mystery,5000,13527,441,1256,0.112,0.216,0.642,0.142,42.900,55,9,2,1939,74,875128
Literary,627,1992,137,493,0.281,0.207,0.681,0.112,58.274,5,3,1,259,4,142556
Literary,3499,12644,53,1519,0.102,0.210,0.667,0.123,53.215,64,22,4,1510,29,843995
Literary,2933,12369,248,2178,0.134,0.183,0.658,0.159,49.616,46,11,13,1814,31,888274
Literary,5975,12539,174,2379,0.100,0.213,0.669,0.118,50.212,50,18,1,2233,27,986529
Literary,1253,4949,87,1383,0.137,0.183,0.668,0.149,60.799,28,5,3,1115,24,473790
Literary,952,4645,17,916,0.193,0.157,0.703,0.14,52.262,17,9,0,761,7,335546
Literary,2733,5665,39,1714,0.145,0.229,0.677,0.094,60.037,17,7,1,864,14,467670
Literary,864,3703,55,493,0.192,0.220,0.681,0.1,46.895,10,4,1,557,9,249994
Literary,2315,5576,113,581,0.157,0.276,0.611,0.113,48.636,20,10,1,778,6,472279
Literary,503,2006,36,320,0.218,0.227,0.634,0.139,58.845,14,4,1,483,9,207651
Western Stories,2248,4593,57,717,0.182,0.218,0.645,0.137,53.110,13,8,2,789,12,429615
Literary,1789,6849,118,1689,0.183,0.237,0.647,0.116,45.067,27,6,1,751,33,466865
Literary,1803,5443,231,1107,0.178,0.210,0.690,0.1,48.051,38,6,0,1007,15,421314
Literary,1793,4281,20,698,0.164,0.211,0.675,0.115,41.078,17,6,0,546,12,311008
Detective and Mystery,816,2142,86,303,0.177,0.176,0.688,0.136,52.920,18,3,2,379,7,232266
Detective and Mystery,230,837,16,251,0.281,0.195,0.613,0.192,45.778,3,3,0,102,1,80609
Literary,1637,3740,72,1099,0.226,0.175,0.706,0.119,40.943,32,7,3,737,20,364443
Detective and Mystery,348,775,16,106,0.274,0.176,0.676,0.148,51.469,6,3,0,140,4,84060
Detective and Mystery,422,930,20,158,0.270,0.202,0.649,0.149,52.378,9,2,0,143,3,99674
Detective and Mystery,376,794,21,121,0.298,0.204,0.673,0.123,50.122,3,2,0,99,3,76767
Literary,473,1164,39,232,0.280,0.211,0.666,0.123,62.028,8,3,0,220,1,105056
Literary,1465,3139,62,633,0.219,0.209,0.656,0.135,48.579,25,6,3,687,8,313467
Literary,3322,11916,70,5768,0.123,0.265,0.608,0.126,52.774,60,34,6,1823,32,938720
Western Stories,2375,2447,22,463,0.199,0.241,0.635,0.124,53.423,18,3,2,720,20,388021
Literary,2457,5997,145,2154,0.146,0.246,0.604,0.15,57.818,30,2,2,1053,11,484226
Literary,1271,3169,48,1205,0.198,0.223,0.692,0.085,51.193,26,3,2,636,8,276114
Detective and Mystery,3070,5289,6,711,0.150,0.228,0.648,0.124,47.156,21,3,1,821,7,428621
Detective and Mystery,1193,4179,101,636,0.175,0.219,0.640,0.141,44.325,29,3,3,668,4,364531
Literary,1378,4138,253,491,0.255,0.218,0.636,0.145,39.193,16,4,1,589,10,284508
Detective and Mystery,1958,4761,150,986,0.158,0.212,0.641,0.147,44.906,35,4,2,907,2,468815
Literary,1957,7869,121,1521,0.159,0.205,0.677,0.118,40.783,58,7,2,1440,31,663216
Literary,2150,5341,179,838,0.161,0.196,0.667,0.137,48.195,37,7,11,1002,19,537601
Literary,1253,6488,51,1046,0.202,0.243,0.617,0.14,42.415,20,3,4,632,22,426761
Literary,226,1254,14,228,0.349,0.201,0.665,0.135,55.722,5,1,1,186,3,86620
Detective and Mystery,1909,5099,3,975,0.160,0.203,0.657,0.14,56.123,21,2,0,843,13,408740
Literary,1746,6946,73,555,0.134,0.236,0.680,0.084,47.333,25,11,1,954,40,495035
Literary,1002,2000,22,764,0.264,0.205,0.649,0.146,52.777,17,1,0,422,,197241
Detective and Mystery,1787,4437,65,553,0.151,0.197,0.655,0.149,57.388,23,1,3,712,7,332504
Literary,2145,7124,42,2270,0.155,0.178,0.696,0.127,50.720,72,9,0,1380,23,607441
Western Stories,1795,5228,85,693,0.147,0.158,0.707,0.135,67.083,23,2,3,1038,11,417480
Literary,1880,4446,170,1026,0.165,0.189,0.703,0.108,74.221,17,8,3,739,30,310668
Literary,686,4713,186,991,0.232,0.237,0.596,0.167,36.569,41,5,3,874,25,412382
Detective and Mystery,595,2196,60,334,0.259,0.205,0.647,0.148,49.256,17,1,2,359,,178191
Literary,1325,5244,12,1073,0.174,0.210,0.661,0.129,49.221,29,4,1,814,13,451763
Literary,678,1739,33,418,0.281,0.231,0.643,0.126,41.803,9,1,0,315,7,178581
Literary,450,2296,67,168,0.203,0.220,0.621,0.159,61.734,5,7,1,375,7,188559
Literary,2619,5593,43,2246,0.151,0.222,0.631,0.146,60.381,35,6,3,1046,19,494812
Literary,226,676,28,100,0.400,0.218,0.651,0.131,56.023,,2,0,92,2,47713
Literary,2016,6367,92,814,0.159,0.267,0.595,0.138,45.173,22,5,2,872,10,407444
Literary,503,3838,69,424,0.205,0.231,0.628,0.141,27.785,21,4,2,800,19,340980
Western Stories,243,743,13,225,0.366,0.169,0.707,0.124,50.536,8,,0,156,1,76151
Literary,1597,5319,46,1175,0.184,0.185,0.688,0.127,51.503,23,3,4,958,26,492512
Literary,2512,6546,30,1231,0.149,0.244,0.629,0.127,59.442,16,3,5,688,24,411338
Detective and Mystery,1007,2810,52,297,0.224,0.152,0.698,0.151,47.520,14,3,1,314,5,190936
Detective and Mystery,697,2270,22,332,0.244,0.147,0.684,0.169,52.062,15,2,1,289,4,159001
Literary,1535,8131,59,1913,0.137,0.201,0.680,0.119,68.887,33,9,1,1161,26,595954
Literary,309,3269,297,869,0.295,0.300,0.539,0.161,39.322,16,5,3,382,4,195207
Literary,105,1291,74,461,0.370,0.208,0.687,0.104,49.225,11,1,1,143,,58680
Literary,896,2944,25,407,0.213,0.224,0.702,0.074,49.485,17,4,0,631,6,277856
Literary,2372,5434,113,2359,0.139,0.219,0.635,0.146,58.214,22,9,3,1059,36,524919
Literary,2499,3573,10,822,0.172,0.200,0.655,0.145,57.232,25,7,1,973,11,388394
Literary,2699,4075,71,1237,0.144,0.222,0.651,0.126,57.925,31,7,0,868,17,396056
Literary,2654,14030,20,1764,0.120,0.289,0.566,0.144,41.361,43,17,2,1563,16,871043
Literary,1763,18809,1742,4690,0.160,0.264,0.577,0.159,38.814,77,35,4,2035,21,1007970
Literary,556,2653,17,237,0.276,0.216,0.662,0.122,54.341,20,4,1,332,8,182392
Love and Romance,308,1610,42,243,0.343,0.294,0.595,0.111,30.109,7,7,0,183,1,129524
Literary,1317,4550,84,553,0.212,0.272,0.559,0.169,38.778,31,3,6,591,36,316872
Love and Romance,1720,3411,47,673,0.185,0.222,0.645,0.133,56.193,15,8,2,580,14,322370
Sea and Adventure,619,6280,48,1000,0.170,0.188,0.723,0.089,38.949,29,3,6,1097,14,447041
Sea and Adventure,1638,8381,9,958,0.180,0.191,0.673,0.136,50.363,31,7,1,972,17,447688
Literary,1882,4470,117,1617,0.154,0.261,0.627,0.112,46.483,24,6,3,878,25,477518
Sea and Adventure,1889,14284,201,3251,0.163,0.217,0.645,0.138,39.406,68,8,8,1564,26,822296
